Counts_file	Species	Condition	Time	Replicate
AT-T0-C1_counts	A.tenuis	control	T0	1
AT-T0-C2_counts	A.tenuis	control	T0	2
AT-T0-C3_counts	A.tenuis	control	T0	3
AT-T0-C4_counts	A.tenuis	control	T0	4
AT-T0-C5_counts	A.tenuis	control	T0	5
AT-T1-C1_counts	A.tenuis	control	T1	1
AT-T1-C2_counts	A.tenuis	control	T1	2
AT-T1-C3_counts	A.tenuis	control	T1	3
AT-T1-C4_counts	A.tenuis	control	T1	4
AT-T1-C5_counts	A.tenuis	control	T1	5
AT-T1-T1_counts	A.tenuis	treatment	T1	1
AT-T1-T2_counts	A.tenuis	treatment	T1	2
AT-T1-T3_counts	A.tenuis	treatment	T1	3
AT-T1-T4_counts	A.tenuis	treatment	T1	4
AT-T1-T5_counts	A.tenuis	treatment	T1	5
AT-T2-C1_counts	A.tenuis	control	T2	1
AT-T2-C2_counts	A.tenuis	control	T2	2
AT-T2-C3_counts	A.tenuis	control	T2	3
AT-T2-C4_counts	A.tenuis	control	T2	4
AT-T2-C5_counts	A.tenuis	control	T2	5
AT-T2-T1_counts	A.tenuis	treatment	T2	1
AT-T2-T2_counts	A.tenuis	treatment	T2	2
AT-T2-T3_counts	A.tenuis	treatment	T2	3
AT-T2-T4_counts	A.tenuis	treatment	T2	4
AT-T2-T5_counts	A.tenuis	treatment	T2	5
AT-T3-C1_counts	A.tenuis	control	T3	1
AT-T3-C2_counts	A.tenuis	control	T3	2
AT-T3-C3_counts	A.tenuis	control	T3	3
AT-T3-C4_counts	A.tenuis	control	T3	4
AT-T3-C5_counts	A.tenuis	control	T3	5
AT-T3-T1_counts	A.tenuis	treatment	T3	1
AT-T3-T2_counts	A.tenuis	treatment	T3	2
AT-T3-T3_counts	A.tenuis	treatment	T3	3
AT-T3-T4_counts	A.tenuis	treatment	T3	4
AT-T3-T5_counts	A.tenuis	treatment	T3	5
AS-T0-C1_counts	A.selago	control	T0	1
AS-T0-C2_counts	A.selago	control	T0	2
AS-T0-C3_counts	A.selago	control	T0	3
AS-T0-C4_counts	A.selago	control	T0	4
AS-T0-C5_counts	A.selago	control	T0	5
AS-T1-C1_counts	A.selago	control	T1	1
AS-T1-C3_counts	A.selago	control	T1	3
AS-T1-C4_counts	A.selago	control	T1	4
AS-T1-C5_counts	A.selago	control	T1	5
AS-T1-T1_counts	A.selago	treatment	T1	1
AS-T1-T2_counts	A.selago	treatment	T1	2
AS-T1-T3_counts	A.selago	treatment	T1	3
AS-T1-T4_counts	A.selago	treatment	T1	4
AS-T1-T5_counts	A.selago	treatment	T1	5
AS-T2-C1_counts	A.selago	control	T2	1
AS-T2-C2_counts	A.selago	control	T2	2
AS-T2-C3_counts	A.selago	control	T2	3
AS-T2-C4_counts	A.selago	control	T2	4
AS-T2-C5_counts	A.selago	control	T2	5
AS-T2-T1_counts	A.selago	treatment	T2	1
AS-T2-T2_counts	A.selago	treatment	T2	2
AS-T2-T4_counts	A.selago	treatment	T2	4
AS-T3-C1_counts	A.selago	control	T3	1
AS-T3-C2_counts	A.selago	control	T3	2
AS-T3-C3_counts	A.selago	control	T3	3
AS-T3-C4_counts	A.selago	control	T3	4
AS-T3-C5_counts	A.selago	control	T3	5
AS-T3-T1_counts	A.selago	treatment	T3	1
AS-T3-T2_counts	A.selago	treatment	T3	2
AS-T3-T4_counts	A.selago	treatment	T3	4
AS-T3-T5_counts	A.selago	treatment	T3	5
